Room 1-1
RoomSize=597
Life Count=1
BlockPics=BlockPics/196608.png
EdgePics=EdgePics/131084.png
ExtrasPic=ExtrasPic/196617.png
StripPics=StripPics/131082.png
TilesPics=TilesPics/131074-2.png
StageName=Green Hill Fever Recreated
ActNumber=1
Music=https%3A%2F%2Farchive.org%2Fdownload%2Fsonic-mana-original-soundtrack%2F1.06%2520Green%2520Hill%2520Zone%2520Act%25201.mp3
Type=8, X=5, Y=33
Type=0, X=9, Y=119
Type=0, X=1, Y=124
Type=0, X=3, Y=124
Type=0, X=7, Y=128
Type=0, X=9, Y=128
Type=7, X=2, Y=130
Type=0, X=0, Y=132
Type=0, X=2, Y=132
Type=0, X=6, Y=136
Type=0, X=8, Y=136
Type=0, X=1, Y=138
Type=0, X=4, Y=142
Type=0, X=6, Y=142
Type=0, X=7, Y=147
Type=0, X=9, Y=147
Type=0, X=1, Y=152
Type=0, X=3, Y=152
Type=1, X=5, Y=155
Type=1, X=9, Y=155
Type=0, X=4, Y=159
Type=0, X=6, Y=159
Type=1, X=2, Y=163
Type=0, X=8, Y=163
Type=0, X=4, Y=167
Type=0, X=6, Y=167
Type=1, X=2, Y=171
Type=0, X=6, Y=171
Type=1, X=8, Y=171
Type=3, X=2, Y=174
Type=3, X=3, Y=174
Type=3, X=2, Y=175
Type=3, X=3, Y=175
Type=0, X=1, Y=176
Type=0, X=3, Y=176
Type=0, X=5, Y=176
Type=0, X=7, Y=176
Type=0, X=9, Y=176
Type=10, X=5, Y=179
Type=10, X=6, Y=179
Type=10, X=5, Y=180
Type=10, X=6, Y=180
Type=0, X=4, Y=181
Type=0, X=6, Y=181
Type=5, X=1, Y=184
Type=0, X=0, Y=187
Type=0, X=2, Y=187
Type=7, X=8, Y=191
Type=0, X=6, Y=193
Type=0, X=8, Y=193
Type=0, X=10, Y=193
Type=0, X=2, Y=197
Type=0, X=4, Y=197
Type=0, X=1, Y=201
Type=0, X=7, Y=201
Type=0, X=9, Y=201
Type=0, X=1, Y=205
Type=0, X=4, Y=205
Type=0, X=6, Y=205
Type=0, X=9, Y=205
Type=3, X=5, Y=206
Type=3, X=4, Y=207
Type=3, X=5, Y=207
Type=3, X=6, Y=207
Type=3, X=5, Y=208
Type=3, X=5, Y=209
Type=0, X=3, Y=213
Type=4, X=5, Y=213
Type=0, X=7, Y=213
Type=0, X=1, Y=217
Type=0, X=3, Y=217
Type=0, X=8, Y=217
Type=0, X=10, Y=217
Type=0, X=5, Y=221
Type=7, X=3, Y=223
Type=0, X=1, Y=225
Type=0, X=3, Y=225
Type=0, X=6, Y=229
Type=3, X=10, Y=229
Type=3, X=9, Y=230
Type=3, X=11, Y=230
Type=3, X=10, Y=231
Type=0, X=9, Y=232
Type=0, X=11, Y=232
Type=0, X=1, Y=233
Type=0, X=3, Y=234
Type=0, X=5, Y=238
Type=0, X=9, Y=238
Type=7, X=7, Y=240
Type=0, X=7, Y=242
Type=0, X=5, Y=246
Type=0, X=7, Y=246
Type=0, X=9, Y=246
Type=3, X=7, Y=247
Type=3, X=7, Y=248
Type=3, X=7, Y=249
Type=3, X=7, Y=250
Type=3, X=7, Y=251
Type=3, X=7, Y=252
Type=3, X=7, Y=253
Type=3, X=7, Y=254
Type=6, X=7, Y=255
Type=3, X=7, Y=256
Type=3, X=7, Y=257
Type=5, X=7, Y=258
Type=0, X=3, Y=263
Type=0, X=5, Y=263
Type=4, X=7, Y=263
Type=0, X=9, Y=263
Type=0, X=11, Y=263
Type=0, X=5, Y=269
Type=0, X=7, Y=269
Type=0, X=9, Y=269
Type=0, X=11, Y=269
Type=3, X=6, Y=272
Type=3, X=5, Y=273
Type=3, X=7, Y=273
Type=3, X=6, Y=274
Type=0, X=4, Y=275
Type=0, X=6, Y=275
Type=3, X=4, Y=279
Type=0, X=10, Y=279
Type=0, X=12, Y=279
Type=3, X=3, Y=280
Type=3, X=5, Y=280
Type=3, X=4, Y=281
Type=0, X=2, Y=283
Type=0, X=4, Y=283
Type=0, X=0, Y=287
Type=0, X=2, Y=287
Type=0, X=4, Y=287
Type=0, X=6, Y=287
Type=0, X=8, Y=287
Type=0, X=10, Y=287
Type=0, X=12, Y=287
Type=0, X=14, Y=287

Room 1-2
RoomSize=486
Type=8, X=7, Y=14
Type=0, X=0, Y=15
Type=0, X=3, Y=15
Type=0, X=6, Y=15
Type=0, X=9, Y=15
Type=0, X=12, Y=15
Type=3, X=7, Y=20
Type=3, X=6, Y=22
Type=3, X=8, Y=22
Type=3, X=7, Y=24
Type=4, X=6, Y=27
Type=7, X=1, Y=29
Type=0, X=3, Y=31
Type=3, X=4, Y=36
Type=3, X=4, Y=38
Type=3, X=4, Y=40
Type=4, X=3, Y=43
Type=7, X=0, Y=44
Type=0, X=2, Y=48
Type=3, X=3, Y=53
Type=3, X=3, Y=55
Type=3, X=3, Y=57
Type=4, X=2, Y=60
Type=3, X=8, Y=61
Type=3, X=8, Y=63
Type=0, X=7, Y=65
Type=5, X=12, Y=65
Type=0, X=3, Y=68
Type=0, X=11, Y=69
Type=3, X=11, Y=71
Type=3, X=13, Y=71
Type=0, X=3, Y=72
Type=3, X=3, Y=74
Type=3, X=5, Y=74
Type=0, X=11, Y=74
Type=0, X=3, Y=77
Type=0, X=7, Y=81
Type=3, X=3, Y=82
Type=3, X=5, Y=82
Type=7, X=7, Y=83
Type=7, X=6, Y=85
Type=0, X=1, Y=86
Type=3, X=4, Y=88
Type=3, X=6, Y=88
Type=0, X=5, Y=90
Type=0, X=4, Y=95
Type=14, X=1, Y=98
Type=0, X=0, Y=99
Type=3, X=5, Y=100
Type=3, X=7, Y=100
Type=3, X=1, Y=101
Type=3, X=1, Y=103
Type=0, X=6, Y=103
Type=5, X=1, Y=105
Type=3, X=12, Y=105
Type=3, X=14, Y=105
Type=3, X=1, Y=107
Type=7, X=4, Y=107
Type=0, X=12, Y=107
Type=3, X=1, Y=109
Type=1, X=7, Y=110
Type=3, X=1, Y=111
Type=3, X=7, Y=112
Type=3, X=9, Y=112
Type=3, X=1, Y=113
Type=1, X=7, Y=114
Type=5, X=1, Y=115
Type=3, X=12, Y=115
Type=3, X=1, Y=117
Type=1, X=3, Y=118
Type=1, X=11, Y=118
Type=3, X=1, Y=119
Type=6, X=1, Y=121
Type=3, X=8, Y=121
Type=3, X=1, Y=123
Type=0, X=7, Y=124
Type=3, X=1, Y=125
Type=7, X=6, Y=125
Type=3, X=1, Y=127
Type=3, X=8, Y=127
Type=3, X=1, Y=129
Type=3, X=7, Y=129
Type=3, X=9, Y=129
Type=3, X=1, Y=131
Type=3, X=8, Y=131
Type=3, X=1, Y=133
Type=3, X=1, Y=135
Type=4, X=7, Y=136
Type=3, X=1, Y=137
Type=3, X=1, Y=139
Type=0, X=11, Y=139
Type=3, X=7, Y=140
Type=3, X=9, Y=140
Type=3, X=1, Y=141
Type=6, X=1, Y=143
Type=0, X=7, Y=143
Type=3, X=7, Y=145
Type=3, X=9, Y=145
Type=0, X=0, Y=147
Type=0, X=7, Y=147
Type=3, X=6, Y=149
Type=3, X=8, Y=149
Type=5, X=13, Y=150
Type=3, X=0, Y=152
Type=3, X=2, Y=152
Type=0, X=6, Y=152
Type=0, X=12, Y=153
Type=7, X=8, Y=154
Type=0, X=0, Y=156
Type=0, X=8, Y=159
Type=3, X=9, Y=162
Type=3, X=9, Y=164
Type=3, X=9, Y=166
Type=4, X=8, Y=171
Type=0, X=12, Y=175
Type=3, X=12, Y=177
Type=3, X=14, Y=177
Type=3, X=5, Y=179
Type=3, X=7, Y=179
Type=0, X=12, Y=179
Type=3, X=13, Y=182
Type=0, X=5, Y=183
Type=3, X=13, Y=184
Type=1, X=12, Y=186
Type=5, X=13, Y=188
Type=0, X=2, Y=189
Type=1, X=7, Y=191
Type=3, X=2, Y=192
Type=3, X=4, Y=192
Type=1, X=12, Y=192
Type=0, X=2, Y=194
Type=3, X=10, Y=194
Type=3, X=12, Y=194
Type=0, X=2, Y=197
Type=1, X=10, Y=197
Type=3, X=6, Y=198
Type=3, X=8, Y=198
Type=3, X=1, Y=200
Type=3, X=3, Y=200
Type=0, X=6, Y=201
Type=3, X=1, Y=202
Type=3, X=3, Y=202
Type=0, X=1, Y=205
Type=0, X=11, Y=205
Type=3, X=6, Y=207
Type=3, X=8, Y=207
Type=0, X=6, Y=210
Type=3, X=5, Y=212
Type=3, X=7, Y=212
Type=0, X=5, Y=214
Type=0, X=2, Y=220
Type=3, X=9, Y=220
Type=3, X=11, Y=220
Type=3, X=9, Y=222
Type=3, X=11, Y=222
Type=3, X=2, Y=224
Type=3, X=4, Y=224
Type=0, X=9, Y=224
Type=3, X=2, Y=226
Type=3, X=4, Y=226
Type=0, X=2, Y=228
Type=0, X=6, Y=232

Room 1-3
RoomSize=549
Type=3, X=1, Y=10
Type=3, X=13, Y=10
Type=3, X=1, Y=12
Type=3, X=13, Y=12
Type=0, X=1, Y=14
Type=0, X=6, Y=14
Type=0, X=11, Y=14
Type=3, X=7, Y=17
Type=3, X=9, Y=17
Type=3, X=8, Y=19
Type=3, X=10, Y=19
Type=3, X=9, Y=21
Type=3, X=11, Y=21
Type=3, X=10, Y=23
Type=3, X=12, Y=23
Type=3, X=9, Y=25
Type=3, X=11, Y=25
Type=3, X=8, Y=27
Type=3, X=10, Y=27
Type=3, X=7, Y=29
Type=3, X=9, Y=29
Type=8, X=7, Y=31
Type=0, X=0, Y=33
Type=0, X=3, Y=33
Type=0, X=6, Y=33
Type=0, X=9, Y=33
Type=0, X=12, Y=33
Type=14, X=6, Y=36
Type=0, X=5, Y=37
Type=3, X=11, Y=39
Type=3, X=13, Y=39
Type=0, X=11, Y=41
Type=3, X=5, Y=42
Type=3, X=7, Y=42
Type=3, X=5, Y=44
Type=3, X=7, Y=44
Type=0, X=12, Y=45
Type=3, X=5, Y=46
Type=3, X=7, Y=46
Type=3, X=10, Y=46
Type=3, X=12, Y=46
Type=4, X=5, Y=49
Type=7, X=3, Y=51
Type=0, X=11, Y=51
Type=3, X=12, Y=53
Type=3, X=12, Y=55
Type=0, X=5, Y=56
Type=3, X=11, Y=57
Type=3, X=13, Y=57
Type=3, X=12, Y=59
Type=3, X=5, Y=61
Type=3, X=7, Y=61
Type=3, X=12, Y=61
Type=3, X=5, Y=63
Type=3, X=7, Y=63
Type=3, X=11, Y=63
Type=3, X=13, Y=63
Type=3, X=5, Y=65
Type=3, X=7, Y=65
Type=3, X=12, Y=65
Type=3, X=12, Y=67
Type=4, X=5, Y=68
Type=3, X=11, Y=69
Type=3, X=13, Y=69
Type=3, X=12, Y=71
Type=3, X=6, Y=73
Type=3, X=8, Y=73
Type=6, X=12, Y=73
Type=3, X=6, Y=75
Type=3, X=8, Y=75
Type=3, X=12, Y=75
Type=3, X=6, Y=77
Type=3, X=8, Y=77
Type=3, X=12, Y=77
Type=5, X=12, Y=79
Type=4, X=6, Y=80
Type=3, X=12, Y=81
Type=3, X=6, Y=82
Type=3, X=8, Y=82
Type=3, X=12, Y=83
Type=3, X=12, Y=85
Type=3, X=1, Y=86
Type=3, X=3, Y=86
Type=0, X=6, Y=86
Type=3, X=12, Y=87
Type=5, X=12, Y=89
Type=0, X=1, Y=90
Type=3, X=6, Y=90
Type=3, X=8, Y=90
Type=3, X=12, Y=91
Type=3, X=1, Y=93
Type=3, X=3, Y=93
Type=3, X=12, Y=93
Type=0, X=6, Y=94
Type=3, X=1, Y=95
Type=3, X=3, Y=95
Type=6, X=12, Y=95
Type=7, X=7, Y=96
Type=0, X=1, Y=98
Type=0, X=11, Y=98
Type=3, X=6, Y=100
Type=3, X=8, Y=100
Type=0, X=6, Y=103
Type=0, X=2, Y=105
Type=7, X=9, Y=106
Type=3, X=3, Y=109
Type=3, X=12, Y=110
Type=3, X=3, Y=111
Type=0, X=6, Y=111
Type=3, X=12, Y=112
Type=3, X=3, Y=113
Type=0, X=11, Y=115
Type=4, X=2, Y=117
Type=3, X=11, Y=117
Type=3, X=13, Y=117
Type=0, X=11, Y=119
Type=3, X=11, Y=120
Type=3, X=13, Y=120
Type=0, X=11, Y=122
Type=5, X=7, Y=124
Type=3, X=12, Y=125
Type=0, X=6, Y=126
Type=3, X=12, Y=127
Type=0, X=11, Y=130
Type=0, X=7, Y=135
Type=14, X=11, Y=139
Type=0, X=10, Y=140
Type=3, X=10, Y=142
Type=3, X=12, Y=142
Type=0, X=10, Y=145
Type=0, X=6, Y=148
Type=3, X=9, Y=150
Type=3, X=11, Y=150
Type=1, X=10, Y=153
Type=3, X=7, Y=159
Type=3, X=9, Y=159
Type=0, X=11, Y=159
Type=3, X=3, Y=162
Type=0, X=9, Y=163
Type=3, X=3, Y=164
Type=7, X=6, Y=164
Type=0, X=2, Y=167
Type=3, X=7, Y=168
Type=3, X=9, Y=168
Type=0, X=12, Y=168
Type=0, X=7, Y=172
Type=0, X=2, Y=176
Type=5, X=3, Y=178
Type=0, X=2, Y=180
Type=3, X=3, Y=182
Type=0, X=2, Y=184
Type=1, X=2, Y=188
Type=0, X=7, Y=192
Type=7, X=8, Y=194
Type=3, X=13, Y=195
Type=0, X=7, Y=196
Type=3, X=13, Y=197
Type=0, X=2, Y=200
Type=0, X=12, Y=200
Type=3, X=7, Y=201
Type=3, X=9, Y=201
Type=3, X=2, Y=204
Type=3, X=4, Y=204
Type=0, X=7, Y=204
Type=7, X=8, Y=206
Type=0, X=2, Y=208
Type=3, X=7, Y=208
Type=3, X=9, Y=208
Type=3, X=2, Y=212
Type=3, X=4, Y=212
Type=0, X=7, Y=212
Type=0, X=2, Y=216
Type=3, X=7, Y=216
Type=3, X=9, Y=216
Type=0, X=7, Y=220
Type=3, X=12, Y=221
Type=3, X=14, Y=221
Type=7, X=6, Y=222
Type=0, X=12, Y=224
Type=3, X=7, Y=225
Type=3, X=9, Y=225
Type=0, X=7, Y=228
Type=0, X=2, Y=232

Room 2-1
RoomSize=489
Type=8, X=7, Y=14
Type=0, X=0, Y=15
Type=0, X=3, Y=15
Type=0, X=6, Y=15
Type=0, X=9, Y=15
Type=0, X=12, Y=15
Type=7, X=4, Y=17
Type=3, X=11, Y=17
Type=3, X=13, Y=17
Type=0, X=0, Y=18
Type=0, X=11, Y=20
Type=0, X=2, Y=24
Type=3, X=6, Y=24
Type=3, X=8, Y=24
Type=3, X=7, Y=26
Type=0, X=6, Y=29
Type=3, X=2, Y=30
Type=3, X=4, Y=30
Type=3, X=3, Y=32
Type=4, X=11, Y=32
Type=0, X=2, Y=35
Type=7, X=5, Y=38
Type=5, X=2, Y=39
Type=1, X=1, Y=41
Type=3, X=3, Y=43
Type=3, X=5, Y=43
Type=4, X=11, Y=44
Type=3, X=3, Y=45
Type=3, X=5, Y=45
Type=1, X=3, Y=48
Type=0, X=11, Y=48
Type=7, X=0, Y=50
Type=3, X=3, Y=54
Type=1, X=10, Y=54
Type=3, X=3, Y=56
Type=0, X=2, Y=59
Type=0, X=11, Y=64
Type=0, X=2, Y=69
Type=3, X=8, Y=70
Type=3, X=10, Y=70
Type=7, X=6, Y=72
Type=0, X=7, Y=75
Type=3, X=7, Y=78
Type=7, X=8, Y=78
Type=3, X=9, Y=78
Type=0, X=7, Y=81
Type=3, X=11, Y=82
Type=3, X=13, Y=82
Type=0, X=11, Y=84
Type=14, X=12, Y=89
Type=0, X=11, Y=90
Type=0, X=5, Y=91
Type=1, X=0, Y=94
Type=5, X=1, Y=96
Type=0, X=12, Y=99
Type=1, X=0, Y=100
Type=9, X=7, Y=105
Type=3, X=3, Y=107
Type=3, X=5, Y=107
Type=9, X=2, Y=110
Type=3, X=7, Y=112
Type=3, X=9, Y=112
Type=9, X=7, Y=115
Type=7, X=4, Y=117
Type=3, X=9, Y=118
Type=3, X=11, Y=118
Type=7, X=8, Y=119
Type=9, X=7, Y=121
Type=7, X=1, Y=125
Type=0, X=6, Y=127
Type=3, X=7, Y=132
Type=3, X=6, Y=134
Type=3, X=8, Y=134
Type=3, X=7, Y=136
Type=4, X=6, Y=139
Type=0, X=0, Y=145
Type=3, X=8, Y=145
Type=0, X=12, Y=145
Type=3, X=8, Y=147
Type=9, X=5, Y=150
Type=7, X=3, Y=152
Type=3, X=5, Y=154
Type=3, X=7, Y=154
Type=0, X=0, Y=155
Type=0, X=12, Y=155
Type=7, X=8, Y=157
Type=0, X=5, Y=159
Type=3, X=12, Y=160
Type=3, X=14, Y=160
Type=5, X=4, Y=163
Type=0, X=12, Y=163
Type=1, X=3, Y=165
Type=1, X=12, Y=167
Type=3, X=8, Y=169
Type=3, X=10, Y=169
Type=3, X=3, Y=171
Type=3, X=5, Y=171
Type=1, X=8, Y=172
Type=0, X=0, Y=175
Type=3, X=1, Y=177
Type=7, X=7, Y=177
Type=3, X=8, Y=177
Type=3, X=10, Y=177
Type=3, X=1, Y=179
Type=5, X=1, Y=181
Type=3, X=1, Y=183
Type=4, X=8, Y=184
Type=3, X=1, Y=185
Type=3, X=8, Y=186
Type=3, X=10, Y=186
Type=3, X=1, Y=187
Type=3, X=1, Y=189
Type=9, X=7, Y=189
Type=5, X=1, Y=191
Type=3, X=1, Y=193
Type=9, X=5, Y=193
Type=3, X=1, Y=195
Type=7, X=5, Y=195
Type=6, X=1, Y=197
Type=9, X=6, Y=197
Type=3, X=0, Y=199
Type=3, X=2, Y=199
Type=3, X=0, Y=201
Type=3, X=2, Y=201
Type=0, X=7, Y=202
Type=3, X=0, Y=203
Type=3, X=2, Y=203
Type=3, X=10, Y=204
Type=3, X=12, Y=204
Type=3, X=1, Y=205
Type=0, X=10, Y=206
Type=3, X=1, Y=207
Type=7, X=9, Y=208
Type=3, X=1, Y=209
Type=3, X=1, Y=211
Type=3, X=10, Y=211
Type=3, X=12, Y=211
Type=3, X=0, Y=213
Type=3, X=2, Y=213
Type=3, X=0, Y=215
Type=3, X=2, Y=215
Type=3, X=0, Y=217
Type=3, X=2, Y=217
Type=4, X=10, Y=218
Type=6, X=1, Y=219
Type=1, X=0, Y=223
Type=3, X=10, Y=223
Type=3, X=12, Y=223
Type=7, X=4, Y=226
Type=3, X=10, Y=227
Type=3, X=12, Y=227
Type=3, X=2, Y=229
Type=3, X=4, Y=229
Type=4, X=10, Y=230
Type=1, X=2, Y=232
Type=0, X=6, Y=236
Type=3, X=11, Y=236
Type=3, X=13, Y=236
Type=7, X=6, Y=238
Type=3, X=11, Y=238
Type=3, X=13, Y=238
Type=0, X=11, Y=241
Type=0, X=6, Y=245

Room 2-2
RoomSize=513
Type=8, X=7, Y=14
Type=0, X=0, Y=15
Type=0, X=3, Y=15
Type=0, X=6, Y=15
Type=0, X=9, Y=15
Type=0, X=12, Y=15
Type=3, X=2, Y=17
Type=3, X=4, Y=17
Type=1, X=0, Y=20
Type=0, X=7, Y=22
Type=3, X=7, Y=25
Type=7, X=8, Y=25
Type=3, X=9, Y=25
Type=0, X=5, Y=28
Type=3, X=10, Y=29
Type=3, X=12, Y=29
Type=13, X=7, Y=32
Type=0, X=0, Y=33
Type=7, X=6, Y=34
Type=3, X=10, Y=35
Type=3, X=12, Y=35
Type=0, X=3, Y=37
Type=3, X=10, Y=37
Type=3, X=12, Y=37
Type=7, X=3, Y=40
Type=0, X=10, Y=40
Type=3, X=12, Y=44
Type=3, X=14, Y=44
Type=0, X=4, Y=45
Type=3, X=12, Y=46
Type=3, X=14, Y=46
Type=0, X=12, Y=49
Type=1, X=7, Y=52
Type=7, X=7, Y=54
Type=0, X=12, Y=57
Type=3, X=13, Y=59
Type=0, X=6, Y=61
Type=3, X=13, Y=61
Type=5, X=13, Y=63
Type=13, X=1, Y=64
Type=3, X=13, Y=65
Type=3, X=0, Y=66
Type=3, X=2, Y=66
Type=3, X=13, Y=67
Type=0, X=0, Y=69
Type=3, X=13, Y=69
Type=3, X=4, Y=70
Type=3, X=6, Y=70
Type=7, X=2, Y=71
Type=3, X=13, Y=71
Type=5, X=13, Y=73
Type=1, X=6, Y=74
Type=3, X=13, Y=75
Type=3, X=6, Y=77
Type=3, X=8, Y=77
Type=3, X=13, Y=77
Type=6, X=13, Y=79
Type=1, X=6, Y=80
Type=3, X=13, Y=81
Type=3, X=13, Y=83
Type=7, X=0, Y=84
Type=1, X=7, Y=85
Type=3, X=13, Y=85
Type=3, X=3, Y=86
Type=3, X=5, Y=86
Type=3, X=13, Y=87
Type=3, X=12, Y=89
Type=3, X=14, Y=89
Type=1, X=0, Y=90
Type=3, X=12, Y=91
Type=3, X=14, Y=91
Type=3, X=12, Y=93
Type=3, X=14, Y=93
Type=1, X=4, Y=95
Type=3, X=12, Y=95
Type=3, X=14, Y=95
Type=3, X=13, Y=97
Type=3, X=0, Y=98
Type=3, X=2, Y=98
Type=3, X=13, Y=99
Type=0, X=0, Y=101
Type=6, X=13, Y=101
Type=3, X=0, Y=103
Type=3, X=2, Y=103
Type=1, X=12, Y=103
Type=7, X=7, Y=105
Type=0, X=0, Y=106
Type=1, X=12, Y=107
Type=1, X=5, Y=109
Type=5, X=2, Y=110
Type=1, X=1, Y=113
Type=3, X=4, Y=115
Type=3, X=6, Y=115
Type=0, X=12, Y=115
Type=9, X=1, Y=117
Type=3, X=3, Y=120
Type=3, X=5, Y=120
Type=0, X=10, Y=120
Type=7, X=6, Y=122
Type=13, X=2, Y=123
Type=0, X=12, Y=126
Type=14, X=13, Y=131
Type=0, X=12, Y=132
Type=0, X=12, Y=136
Type=1, X=7, Y=140
Type=3, X=12, Y=141
Type=3, X=14, Y=141
Type=3, X=12, Y=143
Type=3, X=14, Y=143
Type=1, X=12, Y=146
Type=7, X=1, Y=147
Type=0, X=5, Y=150
Type=7, X=6, Y=152
Type=3, X=0, Y=153
Type=3, X=2, Y=153
Type=0, X=0, Y=155
Type=1, X=6, Y=157
Type=1, X=11, Y=161
Type=3, X=12, Y=166
Type=3, X=11, Y=168
Type=3, X=13, Y=168
Type=3, X=12, Y=170
Type=4, X=11, Y=173
Type=1, X=2, Y=174
Type=3, X=3, Y=179
Type=3, X=2, Y=181
Type=3, X=4, Y=181
Type=3, X=3, Y=183
Type=4, X=2, Y=186
Type=1, X=11, Y=187
Type=3, X=12, Y=192
Type=3, X=11, Y=194
Type=3, X=13, Y=194
Type=3, X=12, Y=196
Type=3, X=2, Y=198
Type=3, X=4, Y=198
Type=4, X=11, Y=199
Type=3, X=2, Y=200
Type=3, X=4, Y=200
Type=1, X=2, Y=202
Type=0, X=12, Y=205
Type=0, X=0, Y=209
Type=7, X=5, Y=209
Type=3, X=13, Y=209
Type=3, X=1, Y=211
Type=3, X=13, Y=211
Type=7, X=5, Y=212
Type=3, X=1, Y=213
Type=3, X=13, Y=213
Type=7, X=5, Y=215
Type=3, X=13, Y=215
Type=3, X=13, Y=217
Type=7, X=5, Y=218
Type=3, X=13, Y=219
Type=7, X=5, Y=221
Type=3, X=13, Y=221
Type=3, X=13, Y=223
Type=3, X=1, Y=227
Type=6, X=13, Y=227
Type=3, X=1, Y=229
Type=6, X=1, Y=231
Type=0, X=12, Y=231
Type=7, X=7, Y=233
Type=0, X=0, Y=235
Type=3, X=6, Y=236
Type=3, X=8, Y=236
Type=0, X=12, Y=237
Type=3, X=6, Y=238
Type=3, X=8, Y=238
Type=0, X=6, Y=241
Type=0, X=1, Y=245

Room 2-3
RoomSize=573
Type=3, X=2, Y=2
Type=3, X=4, Y=2
Type=3, X=10, Y=2
Type=3, X=12, Y=2
Type=0, X=2, Y=6
Type=0, X=10, Y=6
Type=0, X=0, Y=14
Type=0, X=6, Y=14
Type=0, X=12, Y=14
Type=3, X=8, Y=16
Type=3, X=10, Y=16
Type=3, X=9, Y=18
Type=3, X=11, Y=18
Type=3, X=10, Y=20
Type=3, X=12, Y=20
Type=3, X=11, Y=22
Type=3, X=13, Y=22
Type=3, X=12, Y=24
Type=3, X=14, Y=24
Type=3, X=10, Y=26
Type=3, X=12, Y=26
Type=3, X=8, Y=28
Type=3, X=10, Y=28
Type=3, X=7, Y=30
Type=3, X=9, Y=30
Type=8, X=7, Y=33
Type=0, X=0, Y=35
Type=0, X=3, Y=35
Type=0, X=6, Y=35
Type=0, X=9, Y=35
Type=0, X=12, Y=35
Type=14, X=8, Y=38
Type=0, X=7, Y=39
Type=3, X=3, Y=41
Type=3, X=5, Y=41
Type=9, X=1, Y=43
Type=9, X=7, Y=45
Type=0, X=7, Y=48
Type=0, X=12, Y=51
Type=1, X=6, Y=54
Type=3, X=12, Y=56
Type=3, X=14, Y=56
Type=0, X=2, Y=58
Type=7, X=8, Y=59
Type=3, X=3, Y=60
Type=3, X=8, Y=61
Type=3, X=10, Y=61
Type=3, X=3, Y=62
Type=4, X=12, Y=63
Type=5, X=3, Y=64
Type=3, X=3, Y=66
Type=1, X=8, Y=66
Type=3, X=3, Y=68
Type=3, X=8, Y=69
Type=3, X=10, Y=69
Type=3, X=3, Y=70
Type=3, X=3, Y=72
Type=3, X=8, Y=73
Type=3, X=10, Y=73
Type=5, X=3, Y=74
Type=3, X=3, Y=76
Type=3, X=8, Y=77
Type=3, X=10, Y=77
Type=3, X=3, Y=78
Type=6, X=3, Y=80
Type=3, X=2, Y=82
Type=3, X=4, Y=82
Type=6, X=9, Y=83
Type=3, X=2, Y=84
Type=3, X=4, Y=84
Type=3, X=3, Y=86
Type=1, X=8, Y=87
Type=3, X=12, Y=87
Type=3, X=14, Y=87
Type=3, X=3, Y=88
Type=3, X=2, Y=90
Type=3, X=4, Y=90
Type=3, X=8, Y=91
Type=3, X=10, Y=91
Type=1, X=12, Y=91
Type=3, X=2, Y=92
Type=3, X=4, Y=92
Type=3, X=3, Y=94
Type=1, X=8, Y=95
